speed;time
9,43;1.62825E+12
9,46;1.62825E+12
9,5;1.62825E+12
9,5;1.62825E+12
9,51;1.62825E+12
9,6;1.62825E+12
9,56;1.62825E+12
9,58;1.62825E+12
9,55;1.62825E+12
9,6;1.62825E+12
9,63;1.62825E+12
9,65;1.62825E+12
9,73;1.62825E+12
9,71;1.62825E+12
9,73;1.62825E+12
9,73;1.62825E+12
9,81;1.62825E+12
9,77;1.62825E+12
9,79;1.62825E+12
9,82;1.62825E+12
9,72;1.62825E+12
9,85;1.62825E+12
9,77;1.62825E+12
9,81;1.62825E+12
9,71;1.62825E+12
9,73;1.62825E+12
9,71;1.62825E+12
9,67;1.62825E+12
9,75;1.62825E+12
9,68;1.62825E+12
9,75;1.62825E+12
9,75;1.62825E+12
9,78;1.62825E+12
9,65;1.62825E+12
9,62;1.62825E+12
9,61;1.62825E+12
9,56;1.62825E+12
9,6;1.62825E+12
9,59;1.62825E+12
9,49;1.62825E+12
9,45;1.62825E+12
9,5;1.62825E+12
9,41;1.62825E+12
9,57;1.62825E+12
9,51;1.62825E+12
9,55;1.62825E+12
9,44;1.62825E+12
9,44;1.62825E+12
9,41;1.62825E+12
9,38;1.62825E+12
9,48;1.62825E+12
9,34;1.62825E+12
9,42;1.62825E+12
9,41;1.62825E+12
9,36;1.62825E+12
9,36;1.62825E+12
9,42;1.62825E+12
9,39;1.62825E+12
9,4;1.62825E+12
9,4;1.62825E+12
9,37;1.62825E+12
9,33;1.62825E+12
